Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
STAR,Steroidogenic Acute Regulatory Protein,Protein Coding,52,GC08M038120,54.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAR
NR5A1,Nuclear Receptor Subfamily 5 Group A Member 1,Protein Coding,57,GC09M124481,45.37,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR5A1
CYP17A1,Cytochrome P450 Family 17 Subfamily A Member 1,Protein Coding,56,GC10M102830,28.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1
CYP11A1,Cytochrome P450 Family 11 Subfamily A Member 1,Protein Coding,55,GC15M074337,22.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP11A1
CYP11B1,Cytochrome P450 Family 11 Subfamily B Member 1,Protein Coding,53,GC08M142872,18.16,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP11B1
CYP19A1,Cytochrome P450 Family 19 Subfamily A Member 1,Protein Coding,55,GC15M051208,16.75,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1
NR0B1,Nuclear Receptor Subfamily 0 Group B Member 1,Protein Coding,52,GC0XM030322,16.69,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR0B1
CYP21A2, steroidogenic,Protein Coding,52,GC06P032284,15.32,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP21A2
HSD3B2,"Hydroxy-Delta-5-Steroid Dehydrogenase, 3 Beta- And Steroid Delta-Isomerase 2",Protein Coding,53,GC01P119414,12.82,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD3B2
HSD3BP4,"Hydroxy-Delta-5-Steroid Dehydrogenase, 3 Beta, Pseudogene 4",Pseudogene,16,GC01P119563,12.69,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD3BP4
CYP11B2,Cytochrome P450 Family 11 Subfamily B Member 2,Protein Coding,53,GC08M142910,12.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP11B2
LOC108863620,STAR 5' Regulatory Region,Uncategorized,3,GC08U902738,11.67,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108863620
MC2R,Melanocortin 2 Receptor,Protein Coding,54,GC18M015520,11.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC2R
POMC,Proopiomelanocortin,Protein Coding,55,GC02M025160,11.32,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC
ESRRB,Estrogen Related Receptor Beta,Protein Coding,57,GC14P076310,9.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRRB
STARD3,StAR Related Lipid Transfer Domain Containing 3,Protein Coding,45,GC17P039637,9.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD3
POR,Cytochrome P450 Oxidoreductase,Protein Coding,55,GC07P075899,9.26,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR
SRY,Sex Determining Region Y,Protein Coding,42,GC0YM002698,8.85,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRY
NR5A2,Nuclear Receptor Subfamily 5 Group A Member 2,Protein Coding,52,GC01P199996,8.76,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR5A2
NR1H2,Nuclear Receptor Subfamily 1 Group H Member 2,Protein Coding,55,GC19P050329,8.68,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2
HSD3B1,"Hydroxy-Delta-5-Steroid Dehydrogenase, 3 Beta- And Steroid Delta-Isomerase 1",Protein Coding,49,GC01P119507,8.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD3B1
