HGNC.symbol,MGI.symbol,HGNC.symbol,Chromosome.scaffold.name,Gene.start..bp.
ZZEF1,Zzef1,ZZEF1,11,72796226
ZYX,Zyx,ZYX,6,42349630
ZYG11B,Zyg11b,ZYG11B,4,108229724
ZYG11A,Zyg11a,ZYG11A,4,108181738
ZXDC,Zxdc,ZXDC,6,90369492
ZWINT,Zwint,ZWINT,10,72654845
ZWILCH,Zwilch,ZWILCH,9,64137144
ZW10,Zw10,ZW10,9,49055613
ZSWIM8,Zswim8,ZSWIM8,14,20707552
ZSWIM7,Zswim7,ZSWIM7,11,62267224
ZSWIM5,Zswim5,ZSWIM5,4,116877376
ZSWIM4,Zswim4,ZSWIM4,8,84210678
ZSWIM3,Zswim3,ZSWIM3,2,164805098
ZSWIM2,Zswim2,ZSWIM2,2,83915079
ZSWIM1,Zswim1,ZSWIM1,2,164822686
ZSCAN5C,Zscan5b,ZSCAN5C,7,6222278
ZSCAN5A,Zscan5b,ZSCAN5A,7,6222278
ZSCAN5B,Zscan5b,ZSCAN5B,7,6222278
ZSCAN29,Zscan29,ZSCAN29,2,121158273
ZSCAN26,Zscan26,ZSCAN26,13,21442180
ZSCAN25,Zscan25,ZSCAN25,5,145280500
ZSCAN22,Zscan22,ZSCAN22,7,12897815
ZSCAN21,Zscan21,ZSCAN21,5,138116903
ZSCAN20,Zscan20,ZSCAN20,4,128583539
ZSCAN2,Zscan2,ZSCAN2,7,80860920
ZSCAN18,Zscan18,ZSCAN18,7,12768090
ZSCAN12,Zscan12,ZSCAN12,13,21362820
ZSCAN10,Zscan10,ZSCAN10,17,23600856
ZRSR2,Zrsr1,ZRSR2,11,22972005
ZRANB3,Zranb3,ZRANB3,1,127954184
ZRANB2,Zranb2,ZRANB2,3,157534160
ZRANB1,Zranb1,ZRANB1,7,132931142
ZPR1,Zpr1,ZPR1,9,46273064
ZPLD1,Zpld1,ZPLD1,16,55225175
ZPBP2,Zpbp2,ZPBP2,11,98551097
ZPBP,Zpbp,ZPBP,11,11279626
ZP3,Zp3,ZP3,5,135980099
POMZP3,Zp3,POMZP3,5,135980099
ZP2,Zp2,ZP2,7,120126772
ZP1,Zp1,ZP1,19,10914287
ZNRF4,Znrf4,ZNRF4,17,56511248
